nose_y,nose_x,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y,target
0.32929206,0.29731667,0.33281624,0.28226873,0.3247534,0.28620523,0.3590765,0.25409734,0.34434125,0.2619131,0.41321945,0.2958641,0.39509958,0.29780835,0.40861464,0.3985246,0.36617836,0.38426507,0.35901332,0.40100157,0.32772502,0.39492342,0.44686335,0.46818778,0.4336911,0.43594974,0.36862206,0.43055356,0.37143087,0.4281286,0.35230872,0.42535818,0.3515995,0.4214623,1
0.3750474,0.2678839,0.38417074,0.25272048,0.36560306,0.26436698,0.4154222,0.24447122,0.36690247,0.2708874,0.45902556,0.2880381,0.40252453,0.31111306,0.4316158,0.37149188,0.38035446,0.38316685,0.394872,0.38697514,0.360785,0.38888842,0.4787912,0.42379946,0.47681305,0.391646,0.39352196,0.4018185,0.38867754,0.41339242,0.39115724,0.41512856,0.37912297,0.42469406,1
0.365208,0.27938965,0.3727158,0.26519716,0.36087114,0.2703016,0.39890715,0.25121388,0.37727165,0.2562829,0.44514447,0.28163424,0.4187647,0.2857266,0.42144057,0.36125106,0.37716848,0.3589462,0.3951243,0.3814265,0.3609299,0.3614208,0.47407195,0.3801187,0.4558614,0.38082597,0.3961386,0.36600232,0.39426434,0.35662436,0.39295757,0.39449453,0.4034757,0.39451534,1
0.36496732,0.283367,0.369529,0.2697743,0.36352298,0.2725621,0.3964886,0.24666703,0.38556942,0.24965852,0.44795614,0.2789518,0.42770493,0.28246933,0.41585013,0.36302048,0.3842253,0.3582785,0.3798573,0.38080332,0.35233712,0.38066217,0.46753603,0.4216385,0.4747933,0.38578948,0.39384577,0.37026823,0.38852686,0.36841756,0.37418818,0.39790124,0.39021456,0.41020522,1
0.36749837,0.28050488,0.37532064,0.2615885,0.35705203,0.2685792,0.4096148,0.24523577,0.3643775,0.25659174,0.471603,0.281533,0.37613544,0.2918321,0.46953487,0.3574539,0.3348173,0.3343613,0.39776725,0.35133088,0.36426494,0.34127066,0.5183135,0.40866467,0.4562068,0.40507555,0.46017978,0.3614039,0.40635258,0.3610866,0.40209967,0.36134577,0.4715,0.37444746,1
0.413499,0.2567937,0.41814238,0.24391806,0.40649733,0.24851297,0.43950427,0.240898,0.4082678,0.24707156,0.486104,0.28084973,0.43414497,0.28279737,0.5137285,0.35260147,0.40225488,0.3407184,0.43690667,0.28758293,0.4138072,0.289679,0.5321353,0.40093493,0.48779517,0.40197903,0.50402296,0.37748575,0.48593938,0.37741506,0.52807844,0.43847665,0.40933117,0.39128864,1
0.5669127,0.08144006,0.5826458,0.06289992,0.54998946,0.06715323,0.6143683,0.06789303,0.5415829,0.07860112,0.6793045,0.15521578,0.5251706,0.17067283,0.720339,0.27215847,0.5019117,0.28693652,0.6869787,0.37175938,0.45907947,0.36379027,0.62055105,0.39775726,0.53566146,0.38903797,0.6224834,0.5598523,0.51380265,0.53223705,0.59658873,0.68323123,0.4935513,0.6636439,0
0.5099301,0.07992469,0.5298565,0.058591083,0.492797,0.059592985,0.55884945,0.06710594,0.47100493,0.06705047,0.6074508,0.17197481,0.4170032,0.16435665,0.6594464,0.29737264,0.37481266,0.30152106,0.69919753,0.38876748,0.32639903,0.4026986,0.5497824,0.43446934,0.44083828,0.4255324,0.52696085,0.6000481,0.4079877,0.60011995,0.4947896,0.73899865,0.39403218,0.72431463,0
0.5285656,0.051423326,0.5503127,0.026817953,0.5066936,0.026867613,0.58157325,0.023944747,0.47762012,0.022263434,0.64535177,0.12678757,0.42715034,0.08295071,0.6791327,0.286241,0.3214834,0.025380883,0.6985985,0.4142071,0.36491656,0.014706008,0.5634475,0.41558748,0.44019502,0.40259302,0.5773785,0.62749565,0.38637766,0.6167525,0.5739936,0.7900881,0.3761592,0.76914114,0
0.53815955,0.049750544,0.5659318,0.02737401,0.5185355,0.02686285,0.60913646,0.026466867,0.50151557,0.022600418,0.681429,0.13256437,0.45001864,0.08093277,0.7011699,0.30623764,0.31552732,0.023983374,0.69188184,0.453784,0.3424022,0.011109352,0.58079183,0.41922528,0.45497745,0.39930055,0.58814996,0.63654995,0.37560326,0.601961,0.5740771,0.7994833,0.37256324,0.76565385,0
